date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-11-01,15.5,12.8,18.2,2.3,0,214.4,30.5,63,1012,0
2020-11-02,17.7,11.7,21.2,5.1,0,223.1,37.7,72,1010.3,80
2020-11-03,10.8,7.3,13.8,0.1,0,219.5,23.5,49,1022.6,345
2020-11-04,6.7,2.6,11.7,0,0,251,10,32,1032.3,428
2020-11-05,4.8,0.9,10.3,0,0,102.2,6.5,15,1038.7,492
2020-11-06,6.9,1.5,13.5,0,0,85.8,15.7,35,1032.3,501
2020-11-07,10.2,6.5,15.6,0,0,111.2,9.7,22,1023.8,453
2020-11-08,11.5,7.7,15.4,1.7,0,158.7,12.2,41,1022,239
2020-11-09,12.8,9.6,17.1,0,0,120,8.8,31,1022.8,215
2020-11-10,11.4,8.6,15.8,0,0,224.6,10.6,24,1025,478
2020-11-11,10.1,8.7,13,4,0,172.1,9.7,37,1024.2,133
2020-11-12,10.7,6.9,14.8,0,0,207.7,21.3,46,1018.3,188
2020-11-13,10.4,5.1,14.5,0,0,196.6,23.5,46,1017.4,144
2020-11-14,13.9,12.6,16.8,0,0,197.9,23.7,53,1015.7,299
2020-11-15,13.6,9,17.8,4,0,194.4,35,80,1006.9,49
2020-11-16,11,8.8,12.9,0.1,0,229.1,29.9,63,1014.1,45
2020-11-17,11.9,9,14,0,0,215.7,23.9,44.5,1024.8,0
2020-11-18,12.7,10.8,15.9,0.2,0,194.2,20,48.2,1022.4,454
2020-11-19,9.4,4.5,14.4,1.1,0,259.6,25.1,61,1023,1
2020-11-20,5.2,2.7,9.5,0,0,229.6,11.9,26,1035,45
2020-11-21,6.2,2.1,9.8,0,0,210,28.8,55,1031.3,26
2020-11-22,9.3,7.9,10.4,0.4,0,228.7,20.7,43,1027,0
2020-11-23,7.6,4.7,10.9,0,0,244.7,9.6,36,1028.5,194
2020-11-24,6.3,4.2,8.8,0,0,184.8,14,33,1023.5,160
2020-11-25,6.8,5,9.8,0,0,186.5,17.3,41,1017.5,365
2020-11-26,5.7,3.5,8.2,0,0,185.8,10.3,33,1020.6,254
2020-11-27,3.4,2.1,5,0,0,114.1,8.6,20,1019.5,111
2020-11-28,4.5,1.5,9.9,0,0,89,12,25,1020.1,412
2020-11-29,1,-2.9,3.1,0,0,84.4,15.4,33,1025.6,11
2020-11-30,0.1,-3.6,3.9,18.6,0,227.8,18.4,51,1024.5,143
2020-12-01,5,3.3,7,5.7,0,296.6,17.9,45,1015.7,0
2020-12-02,4.3,3,5.1,0.2,0,42.4,6.6,23,1016.9,18
2020-12-03,4.3,3,5.6,0.2,0,192.1,26.5,58,999.6,0
2020-12-04,6,3.3,8.2,0.6,0,182.2,26.1,64,985.2,0
2020-12-05,5,2.6,7.8,0,0,146.4,13.3,36,996.9,296
2020-12-06,3.7,2,5.2,4.4,0,321.4,8.8,19,1000.5,0
